DATE,ABQPOP
2000-01-01,731.712
2001-01-01,739.531
2002-01-01,753.67
2003-01-01,766.154
2004-01-01,780.865
2005-01-01,798.722
2006-01-01,817.973
2007-01-01,834.685
2008-01-01,846.582
2009-01-01,857.903
2010-01-01,889.581
2011-01-01,898.123
2012-01-01,902.091
2013-01-01,905.143
2014-01-01,904.75
2015-01-01,906.283
2016-01-01,909.571
2017-01-01,912.592
2018-01-01,915.269
2019-01-01,918.865
2020-01-01,917.502
2021-01-01,918.97
2022-01-01,919.543
